source_id,source_type,relation,target_id,target_type,repo,metadata
github:christophpurrer,AUTHOR,authored_commit,1c2cddad1a1c8c85d525740c0586c023c714122c,COMMIT,facebook/react-native,
github:rmaz,AUTHOR,authored_commit,fc5cc2821f6e0117c0ea1bb4e6c5c45f58a2a167,COMMIT,facebook/react-native,
github:chicio,AUTHOR,authored_commit,57c073f0d728575a43039e413ac5f0d6958e7e2f,COMMIT,facebook/react-native,
github:rubennorte,AUTHOR,authored_commit,3057e28aa91e1bc20dac4c7f1efab7a1aa91ecde,COMMIT,facebook/react-native,
github:mdvacca,AUTHOR,authored_commit,5ba0a1b5d4607aca55f651e36ae1b06efa0602b0,COMMIT,facebook/react-native,
github:mdvacca,AUTHOR,authored_commit,2e2ce11598e78a30392e1ca90827b90485ccd904,COMMIT,facebook/react-native,
github:mdvacca,AUTHOR,authored_commit,f7e8112af5a1e2a1a154cd0a952e78bb8410e196,COMMIT,facebook/react-native,
github:mdvacca,AUTHOR,authored_commit,5e0f7236b9add5e6a66134a3717152906649a60e,COMMIT,facebook/react-native,
github:marcoww6,AUTHOR,authored_commit,f596bb3d1a621e95052e864aa6673b5f3535d0bb,COMMIT,facebook/react-native,
github:zeyap,AUTHOR,authored_commit,d8820a403bb7241f4d2dd4b1006079af049d68e3,COMMIT,facebook/react-native,
github:coado,AUTHOR,authored_commit,d83bf7394bbaaba136809017ff8b0cd7ed7dea78,COMMIT,facebook/react-native,
email:753455eca071f974a8dc743d1f1e7c16d9767096e02115b561e6bb0f578d2c92,AUTHOR,authored_commit,c0ae52b74af76840369a67e2d98be47d60bc52f3,COMMIT,facebook/react-native,
github:coado,AUTHOR,authored_commit,0686cde779ca39c0180a8ad2558cdd6612f1fea1,COMMIT,facebook/react-native,
email:69e2f25213c4e66431345a7ebf517196595af13b8d9329eb47ba982e3d20d946,AUTHOR,authored_commit,7d45ea81349cb00432067d5e2461ba677c706e1a,COMMIT,facebook/react-native,
github:j-piasecki,AUTHOR,authored_commit,c0f2f63ce190ed7701cd558100d4f5de6116675c,COMMIT,facebook/react-native,
github:rubennorte,AUTHOR,authored_commit,9130df67735f01c385296e155300dd8afebae6be,COMMIT,facebook/react-native,
github:rubennorte,AUTHOR,authored_commit,4f3f5366c841123364ca9633e36a8432c1939c62,COMMIT,facebook/react-native,
github:nickgerleman,AUTHOR,authored_commit,1722aa9994b668ac761477866567717160051f5c,COMMIT,facebook/react-native,
github:nickgerleman,AUTHOR,authored_commit,a18f802691a533f2c7067de88d63eb4ce92b16df,COMMIT,facebook/react-native,
github:nickgerleman,AUTHOR,authored_commit,3483dfa4609d34d1b2b4812ee2c280b37cf88231,COMMIT,facebook/react-native,
github:marcoww6,AUTHOR,authored_commit,53cd9cec15cc2b5a3aaa46dd1c832017b0fadaf5,COMMIT,facebook/react-native,
github:nickgerleman,AUTHOR,authored_commit,48b6f2dcc93f28801338fc79dff8b527b15d5f92,COMMIT,facebook/react-native,
github:nickgerleman,AUTHOR,authored_commit,d5a271dd0599caff85652ce0581e3026da470065,COMMIT,facebook/react-native,
github:nickgerleman,AUTHOR,authored_commit,b53b228673e0b833cae7718bbb778b2ecaec5d76,COMMIT,facebook/react-native,
github:nickgerleman,AUTHOR,authored_commit,b172f46f0d0413dcaedc8c901d79e3932cb26589,COMMIT,facebook/react-native,
github:nickgerleman,AUTHOR,authored_commit,66975aa3d52a05189b07f8f22eec86dbbfab0240,COMMIT,facebook/react-native,
github:nickgerleman,AUTHOR,authored_commit,d18d9a4046e25b60a2054462d242663a8daa2589,COMMIT,facebook/react-native,
github:nickgerleman,AUTHOR,authored_commit,87802841e71e4f54a876f1579d2be85774950fa1,COMMIT,facebook/react-native,
github:nickgerleman,AUTHOR,authored_commit,58d570bdef683e93a275931c5a84cf1fbd8406c8,COMMIT,facebook/react-native,
github:nickgerleman,AUTHOR,authored_commit,81c3a57206a270d387c03a964290adc4089edfcd,COMMIT,facebook/react-native,
github:nickgerleman,AUTHOR,authored_commit,9c1a1ade9bad02894f185fb6edc8ac47fdd7640f,COMMIT,facebook/react-native,
github:nickgerleman,AUTHOR,authored_commit,5ba20edbc34650a93a405abcc2935ed472de5538,COMMIT,facebook/react-native,
github:nickgerleman,AUTHOR,authored_commit,a9d5e413c8e509e439132845b51000bd5265a8a9,COMMIT,facebook/react-native,
github:nickgerleman,AUTHOR,authored_commit,13fefd537c76766efb876b9c85d5d1d9d7358c1e,COMMIT,facebook/react-native,
email:3e3cd8dffa9aed6ed07e206371e83227f401e1ac40de152073ea958e18cc8983,AUTHOR,authored_commit,40c9ed18e1c1c1cf1e033669b02586d75b784aea,COMMIT,facebook/react-native,
